No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	解決ニーズ	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
278	＋α	仲介手数料 最低金額	28	140	記事	Know（いくら払うのか相場を知りたい）	仲介手数料の具体的な金額を知りたい	相場	データ一覧	ガイド記事	相場ガイド	仲介手数料相場	仲介手数料の相場はいくら？売買価格帯別の金額一覧	権威構築	必須	解説記事
279	＋α	仲介手数料 最大	46	70	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の最大額（法定上限）を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	必須	解説記事
280	＋α	仲介手数料 先払い	30	40	削除	Know（仲介手数料の概要を知りたい）	仲介手数料は先払い（前払い）が必要か確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	必須	解説記事
281	＋α	仲介手数料 下げる	45	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料を下げる具体的な交渉方法を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料は値切れる？交渉・値引き方法｜言い方・タイミング	権威構築	必須	ハウツー
282	＋α	仲介手数料 下げ方	N/A	0	削除				解説		検索なし			対象外	不要	
283	＋α	仲介手数料 取得価額	22	170	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の具体的な金額を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	必須	解説記事
284	＋α	仲介手数料 仕訳	34	210	削除	Do（仕訳・勘定科目を調べたい）	仲介手数料の仕訳方法を知りたい	会計処理	実務ガイド	解説記事	会計処理	仲介手数料_会計処理	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	補足	解説記事
285	＋α	仲介手数料 支払調書	N/A	70	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の基本的な仕組みを理解したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	必須	解説記事
286	＋α	仲介手数料 資産計上	29	70	削除	Know（仲介手数料の概要を知りたい）	仲介手数料を資産計上するか経費処理するか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	必須	解説記事
287	＋α	仲介手数料 取得費	27	50	削除	Know（仲介手数料の概要を知りたい）	仲介手数料を取得費に含められるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	必須	解説記事
288	＋α	仲介手数料 取得価格	24	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料を取得価額に含めるべきか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	必須	解説記事
289	＋α	仲介手数料 支払いタイミング	43	70	削除	Know（仲介手数料の時期を知りたい）	仲介手数料を払うタイミング（契約時？引渡時？）を確認したい	時期・スケジュール	解説	ガイド記事	時期・スケジュール	仲介手数料_基礎解説	仲介手数料はいつ払う？支払い方法・分割・ローン組み込みを解説	権威構築	補足	解説記事
290	＋α	仲介手数料 収入印紙	48	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の支払いに収入印紙が必要か知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_領収書書類	仲介手数料の領収書・請求書・契約書｜印紙税と書式を解説	権威構築	必須	解説記事
291	＋α	仲介手数料 スーモ	37	480	削除	Know（スーモの仲介手数料を知りたい）		特定企業	解説	ガイド記事	特定企業	仲介手数料_特定企業		権威構築	不要	
292	＋α	仲介手数料 住友不動産	30	0	削除			特定企業	解説		検索なし			対象外	不要	
293	＋α	仲介手数料 少ない 不動産	45	40	削除	Know（不動産取引の手数料を知りたい）	不動産売買の仲介手数料を知りたい	不動産売買	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	必須	解説記事
294	＋α	仲介手数料 少ない	N/A	0	削除				解説		検索なし			対象外	不要	
295	＋α	仲介手数料 住み替え	N/A	10	削除	Know（仲介手数料の概要を知りたい）	住み替え時の仲介手数料（売却+購入）を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
296	＋α	仲介手数料 住友不動産販売	N/A	10	削除	Know（不動産取引の手数料を知りたい）		特定企業	解説	ガイド記事	不動産売買	仲介手数料_不動産売買	不動産売買の仲介手数料はいくら？マンション・戸建・土地の計算方法	権威構築	不要	
297	＋α	不動産売却 仲介手数料 住まいソリューション サイト	26	0	削除				解説		検索なし			対象外	不要	
298	＋α	不動産売却 仲介手数料 住まいソリューション相談	25	0	削除				解説		検索なし			対象外	不要	
299	＋α	不動産 仲介手数料 suumo	N/A	0	削除			特定企業	解説		検索なし			対象外	不要	
300	＋α	不動産売却 仲介手数料 住まいソリューション	26	0	削除				解説		検索なし			対象外	不要	
301	＋α	仲介手数料 請求書	32	170	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の請求書の書式・記載事項を確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_領収書書類	仲介手数料の領収書・請求書・契約書｜印紙税と書式を解説	権威構築	必須	解説記事
302	＋α	仲介手数料 折半	28	40	削除	Know（仲介手数料の概要を知りたい）	仲介手数料を売主・買主で折半できるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
303	＋α	仲介手数料 請求書 テンプレート	45	50	削除	Do（仲介手数料を計算したい）	仲介手数料を計算したい	計算方法	実務ガイド	計算ツール		仲介手数料計算	仲介手数料 計算ツール	ツール集客	必須	計算ツール
304	＋α	仲介手数料 正規	26	30	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の正規料金（法定上限）を確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
305	＋α	仲介手数料 成功報酬	29	10	削除	Know（仲介手数料の概要を知りたい）	仲介手数料は成功報酬なのか確認したい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	必須	ピラーページ
306	＋α	仲介手数料 センチュリー21	24	320	削除	Know（仲介手数料の概要を知りたい）		特定企業	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料とは？仕組み・計算・相場を完全ガイド	権威構築	不要	
307	＋α	仲介手数料 制限	N/A	0	削除				解説		検索なし			対象外	不要	
308	＋α	仲介手数料 請求書 ひな形	N/A	30	削除	Do（仲介手数料の書式を確認したい）	仲介手数料の請求書テンプレート・ひな形を入手したい	書類・手続き	解説	ハウツー記事	書式	仲介手数料_領収書書類	仲介手数料の領収書・請求書・契約書｜印紙税と書式を解説	権威構築	補足	解説記事
309	＋α	仲介手数料 生活保護	26	10	削除	Know（仲介手数料の概要を知りたい）	生活保護受給者の仲介手数料の扱いを知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	賃貸の仲介手数料はいくら？相場・上限・交渉・無料物件の見つけ方	権威構築	必須	解説記事
310	＋α	仲介手数料 正規手数料	N/A	0	削除				解説		検索なし			対象外	不要	
311	＋α	仲介手数料 速算式	25	90	削除	Know（仲介手数料の概要を知りたい）	仲介手数料の速算式（3%+6万円等）を知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料 計算ツール	権威構築	必須	計算ツール
312	＋α	仲介手数料 損金	30	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料を損金算入できるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	必須	解説記事
313	＋α	仲介手数料 損金算入時期	23	20	削除	Know（仲介手数料の概要を知りたい）	仲介手数料を損金算入できるか知りたい	基礎知識	解説	解説記事	基礎解説	仲介手数料_基礎解説	仲介手数料の勘定科目・仕訳｜個人事業主・法人の経費処理	権威構築	必須	解説記事
314	＋α	仲介手数料 高い	36	210	記事	Know（仲介手数料の金額を知りたい）	自分が払う仲介手数料が適正額か判断したい	金額別	解説	ガイド記事	金額	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
315	＋α	仲介手数料 宅建業法	29	480	記事	Know（法律上の上限ルールを確認したい）	宅建業法における仲介手数料の規定を確認したい	法律・制度	解説	解説記事	法律・規制	仲介手数料上限	仲介手数料の上限はいくら？宅建業法の規定と2024年改正	権威構築	補足	解説記事
316	＋α	仲介手数料 高すぎる	36	110	記事	Know（仲介手数料の金額を知りたい）	自分が払う仲介手数料が適正額か判断したい	金額別	解説	ガイド記事	金額	仲介手数料_金額別	仲介手数料の具体例｜800万円・400万円・3000万円の計算	権威構築	補足	解説記事
