No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
345	＋α	不動産投資 知恵袋	42	40	削除			解説		QAサイト			対象外	不要
346	＋α	不動産投資 賃貸	N/A	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
347	＋α	不動産投資 賃貸経営	49	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
348	＋α	不動産投資 仲介手数料	N/A	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
349	＋α	不動産投資 月1万	N/A	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
350	＋α	不動産投資 積立	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
351	＋α	不動産投資 月いくら	N/A	10	記事	Know（不動産投資の金額・相場を知りたい）	計算方法	データ一覧	ガイド記事	相場ガイド	不動産投資計算	不動産投資の計算方法・シミュレーション	権威構築	必須	計算ツール
352	＋α	不動産投資 月5万	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
353	＋α	不動産投資 月10万	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
354	＋α	不動産投資 ツール	26	10	計算ページ	Do（不動産投資をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		不動産投資計算	不動産投資の計算方法・シミュレーション	ツール集客	必須	計算ツール
355	＋α	不動産投資 月極駐車場	N/A	0	削除			解説		検索なし			対象外	不要
356	＋α	不動産投資 つくば	40	20	削除			解説		地域KW			対象外	不要
357	＋α	不動産投資 月々 マイナス	36	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
358	＋α	不動産投資 月100万	N/A	10	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
359	＋α	不動産投資 手残り 目安	29	30	記事	Know（不動産投資の金額・相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	不動産投資_相場ガイド		権威構築	補足
360	＋α	不動産投資 転職	41	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
361	＋α	不動産投資 手出し	37	30	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
362	＋α	不動産投資 手付金	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
363	＋α	不動産投資 手数料	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
364	＋α	不動産投資 低額	N/A	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
365	＋α	不動産投資 手付金 相場	43	10	記事	Know（不動産投資の金額・相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	不動産投資_相場ガイド		権威構築	補足
366	＋α	不動産投資 低リスク	28	10	記事	Know（リスク・デメリットを知りたい）	その他	解説	解説記事	リスク	不動産投資_リスク	不動産投資のリスクと対策を解説	権威構築	必須	解説記事
367	＋α	不動産投資 店舗	29	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
368	＋α	不動産投資 テレアポ	35	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
369	＋α	不動産投資 とは	28	2900	記事	Know（不動産投資の始め方を知りたい）	基礎知識	解説	解説記事	基礎解説	不動産投資基礎解説	不動産投資とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
370	＋α	不動産投資 東京	25	590	削除			解説		地域KW			対象外	不要
371	＋α	不動産投資 投資信託	N/A	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
372	＋α	不動産投資 土地だけ	41	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
373	＋α	不動産投資 投資信託 どっち	28	50	記事	Know（不動産投資のメリット・リスクを知りたい）	比較・検討	解説	解説記事	比較・検討	不動産投資_比較・検討		権威構築	補足
374	＋α	不動産投資 途中で売却	42	30	記事	Know（売却戦略を知りたい）	その他	解説	解説記事	売却・出口	不動産投資_売却・出口		権威構築	補足
375	＋α	不動産投資 トラスト	N/A	90	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
376	＋α	不動産投資 東京 ワンルーム	26	20	削除			解説		地域KW			対象外	不要
377	＋α	不動産投資 トラブル	27	70	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
378	＋α	不動産投資 土地	40	20	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
379	＋α	不動産投資 なんj	34	170	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
380	＋α	不動産投資 名古屋	35	260	削除			解説		地域KW			対象外	不要
381	＋α	不動産投資 何年で回収	29	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
382	＋α	不動産投資 何から始める	43	50	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
383	＋α	不動産投資 何歳から	N/A	40	記事	Know（不動産での不動産投資を知りたい）	その他	解説	解説記事	不動産特化	不動産投資_不動産特化	不動産投資と不動産投資の関係を解説	権威構築	必須	解説記事
